Time,Power
03-15-21:36:57,95
03-15-21:37:17,95.25
03-15-21:37:37,95
03-15-21:37:57,95.5
03-15-21:38:17,95
03-15-21:38:37,95
03-15-21:38:57,95.25
03-15-21:39:17,95
03-15-21:39:37,95
03-15-21:39:57,95.25
03-15-21:40:17,95.25
03-15-21:40:37,95
03-15-21:40:57,95
03-15-21:41:17,95.25
03-15-21:41:37,95
03-15-21:41:57,95
03-15-21:42:17,95
03-15-21:42:37,95.25
03-15-21:42:57,95.25
03-15-21:43:17,95.5
03-15-21:43:37,95.25
03-15-21:43:57,95
03-15-21:44:17,95.25
03-15-21:44:37,95.25
03-15-21:44:57,95.25
03-15-21:45:17,95
03-15-21:45:38,95.25
03-15-21:45:58,95.25
03-15-21:46:17,95.25
03-15-21:46:39,95
03-15-21:46:58,95.25
03-15-21:47:18,95.5
03-15-21:47:37,95.5
03-15-21:47:58,95.25
03-15-21:48:17,95
03-15-21:48:38,95.25
03-15-21:48:58,95.5
03-15-21:49:17,95
03-15-21:49:37,95
03-15-21:49:58,95
03-15-21:50:18,95
03-15-21:50:37,95
03-15-21:50:58,95.25
03-15-21:51:18,95.25
03-15-21:51:38,95.25
03-15-21:51:58,95
03-15-21:52:18,95.25
03-15-21:52:38,95.25
03-15-21:52:58,95.25
03-15-21:53:18,95.25
03-15-21:53:38,95.25
03-15-21:53:58,95
03-15-21:54:18,95
03-15-21:54:38,95
03-15-21:54:58,95
03-15-21:55:18,95.75
03-15-21:55:38,95.25
03-15-21:55:58,95
03-15-21:56:18,95.25
03-15-21:56:38,94.75
03-15-21:56:58,94.25
03-15-21:57:18,94.25
03-15-21:57:38,94.25
03-15-21:57:58,94.5
03-15-21:58:18,94
03-15-21:58:38,94.25
03-15-21:58:58,95
03-15-21:59:18,95
03-15-21:59:38,94.75
03-15-21:59:58,94.25
03-15-22:00:18,94.25
03-15-22:00:38,94.25
03-15-22:00:58,94.25
03-15-22:01:18,94.5
03-15-22:01:38,94.25
03-15-22:01:58,94.5
03-15-22:02:18,94.25
03-15-22:02:38,94.25
03-15-22:02:58,94.25
03-15-22:03:18,94.5
03-15-22:03:38,94.25
03-15-22:03:58,95.25
03-15-22:04:18,95.75
03-15-22:04:38,95.5
03-15-22:04:58,95
03-15-22:05:18,95.25
03-15-22:05:38,95
03-15-22:05:58,95
03-15-22:06:18,95
03-15-22:06:38,95
03-15-22:06:58,95
03-15-22:07:19,95
03-15-22:07:39,95
03-15-22:07:59,95.25
03-15-22:08:19,95
03-15-22:08:39,94.75
03-15-22:08:59,94.25
03-15-22:09:19,94.5
03-15-22:09:39,94.75
03-15-22:09:59,95.25
03-15-22:10:19,95.25
03-15-22:10:39,95
03-15-22:10:59,95.25
03-15-22:11:19,95
03-15-22:11:39,95
03-15-22:11:59,95.25
03-15-22:12:19,95
03-15-22:12:39,94.75
03-15-22:12:59,94
03-15-22:13:19,94.25
03-15-22:13:39,94.25
03-15-22:13:59,94.5
03-15-22:14:19,94.25
03-15-22:14:39,94.25
03-15-22:14:59,94.75
03-15-22:15:19,95
03-15-22:15:39,95.75
03-15-22:15:59,95.25
03-15-22:16:19,95.75
03-15-22:16:39,96
