Time,Power
03-15-20:17:13,12.75
03-15-20:17:33,21.5
03-15-20:17:53,28
03-15-20:18:13,33.25
03-15-20:18:33,37
03-15-20:18:53,40
03-15-20:19:13,42.25
03-15-20:19:33,43.5
03-15-20:19:53,44.25
03-15-20:20:13,45
03-15-20:20:33,45.75
03-15-20:20:53,45.75
03-15-20:21:13,45.75
03-15-20:21:33,45.75
03-15-20:21:53,45.5
03-15-20:22:13,91.75
03-15-20:22:33,122.75
03-15-20:22:53,145.5
03-15-20:23:13,163
03-15-20:23:33,177
03-15-20:23:53,187.25
03-15-20:24:13,187.5
03-15-20:24:33,187.25
03-15-20:24:53,187.25
03-15-20:25:13,187
03-15-20:25:33,186.75
03-15-20:25:54,185.75
03-15-20:26:13,143.25
03-15-20:26:33,111.75
03-15-20:26:54,87.75
03-15-20:27:14,69.75
03-15-20:27:34,56.25
03-15-20:27:54,46.5
03-15-20:28:14,39
03-15-20:28:34,33.75
03-15-20:28:54,29.25
03-15-20:29:14,26.25
03-15-20:29:34,24
03-15-20:29:54,22.5
03-15-20:30:14,21
03-15-20:30:34,20.25
03-15-20:30:54,19.5
03-15-20:31:14,18.75
03-15-20:31:34,27
03-15-20:31:54,34
03-15-20:32:14,39
03-15-20:32:34,42.25
03-15-20:32:54,44.25
03-15-20:33:14,45.75
03-15-20:33:34,46.25
03-15-20:33:54,46.75
03-15-20:34:14,46.75
03-15-20:34:34,46.5
03-15-20:34:54,46.5
03-15-20:35:14,46.5
03-15-20:35:34,46.5
03-15-20:35:54,46.5
03-15-20:36:14,46.5
03-15-20:36:34,46.25
03-15-20:36:54,92.75
03-15-20:37:14,123.5
03-15-20:37:34,146.25
03-15-20:37:54,163.75
03-15-20:38:14,176.75
03-15-20:38:34,186.75
03-15-20:38:54,194
03-15-20:39:14,200
03-15-20:39:34,202.5
03-15-20:39:54,206
03-15-20:40:14,201.75
03-15-20:40:34,198
03-15-20:40:55,195.75
03-15-20:41:14,193
03-15-20:41:34,191.5
03-15-20:41:54,189.75
03-15-20:42:14,188
03-15-20:42:34,187
03-15-20:42:55,186.25
03-15-20:43:14,185.5
03-15-20:43:34,143.25
03-15-20:43:55,111.75
03-15-20:44:14,87.75
03-15-20:44:34,69.75
03-15-20:44:55,56.25
03-15-20:45:15,46.5
03-15-20:45:35,39
03-15-20:45:55,33.75
03-15-20:46:15,29.25
03-15-20:46:35,26.25
03-15-20:46:55,24
03-15-20:47:15,22.5
03-15-20:47:35,40.75
03-15-20:47:55,60.5
03-15-20:48:15,74.5
03-15-20:48:35,84.25
03-15-20:48:55,91.25
03-15-20:49:15,96.5
03-15-20:49:35,100.25
03-15-20:49:55,103.5
03-15-20:50:15,105.75
03-15-20:50:35,107.5
03-15-20:50:55,108.5
03-15-20:51:15,109.25
03-15-20:51:35,110
03-15-20:51:55,110.75
03-15-20:52:15,110.75
03-15-20:52:35,110.75
03-15-20:52:55,110.75
03-15-20:53:15,110.75
03-15-20:53:35,110.5
03-15-20:53:55,154
03-15-20:54:15,185.75
03-15-20:54:35,209.75
03-15-20:54:55,228.25
03-15-20:55:15,242.5
03-15-20:55:35,252.25
03-15-20:55:55,259.25
03-15-20:56:15,264.75
03-15-20:56:35,261.25
03-15-20:56:55,259
03-15-20:57:15,257
03-15-20:57:35,255
03-15-20:57:55,212
03-15-20:58:15,179.75
03-15-20:58:35,155.25
03-15-20:58:55,137.5
03-15-20:59:15,124
03-15-20:59:35,114
03-15-20:59:55,106.5
